    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, selection_cmp, selection_swaps, selection_time
    0,             0,               0,              5,         0,           0,          2,         0,           0,          2,             0,               0,              2
    1,             1,               0,              8,         0,           0,          2,         0,           0,          0,             0,               0,              1
    2,             2,               0,             10,         1,           2,         12,         1,           0,         13,             3,               0,             28
    3,             3,               0,             10,         3,           5,         20,         3,           0,         23,             7,               0,             13
    4,             7,               3,             20,         6,           3,         22,         5,           0,         20,            12,               3,             22
    5,             9,               4,             16,         7,           6,         16,         7,           0,         19,            18,               4,             24
    6,            15,               9,             26,        12,           8,         23,        10,           0,         24,            25,               3,             27
    7,            22,              15,             82,        15,           7,         44,        13,           0,         58,            33,               5,            103
    8,            29,              21,             86,        16,          12,         31,        16,           0,         41,            42,               5,             44
    9,            32,              23,             52,        20,          18,         36,        21,           0,         41,            52,               7,             53
   10,            39,              29,             64,        23,          16,         36,        22,           0,         56,            63,               9,            111
   11,            40,              29,             68,        33,          27,         53,        26,           0,         57,            75,               9,             81
   12,            50,              38,             65,        36,          29,        120,        31,           0,         68,            88,               6,             63
   13,            54,              41,             97,        31,          24,         77,        34,           0,         85,           102,               7,            115
   14,            60,              46,            143,        35,          25,         79,        40,           0,         90,           117,              10,            153
   15,            64,              49,            134,        42,          36,        100,        44,           0,        106,           133,              11,            169
   16,            73,              57,            167,        44,          33,         98,        48,           0,        123,           150,              11,            177
   17,            76,              59,            186,        52,          43,        147,        52,           0,        143,           168,              13,            209
   18,            91,              73,            254,        67,          29,        134,        58,           0,        135,           187,              15,            202
   19,           101,              82,            206,        57,          42,         71,        61,           0,        102,           207,              16,            203
   20,           105,              85,            224,        66,          53,        247,        66,           0,        108,           228,              17,            149
   21,           116,              95,            153,        74,          62,         87,        70,           0,         77,           250,              17,            129
   22,           117,              95,            128,        95,          84,         90,        73,           0,       2013,           273,              17,            264
   23,           120,              97,            261,        91,          69,        116,        79,           0,       5106,           297,              19,            212
   24,           130,             106,            190,        85,          67,        109,        83,           0,        142,           322,              22,            225
   25,           151,             126,            234,        94,          74,        123,        89,           0,        133,           348,              20,            236
   26,           163,             137,            261,        88,          63,        120,        91,           0,        144,           375,              21,            258
   27,           180,             153,            279,        95,          67,        123,       100,           0,        153,           403,              25,            238
   28,           186,             158,            171,        99,          82,        108,       105,           0,        135,           432,              24,            180
   29,           193,             164,            230,       103,          86,        142,       112,           0,        182,           462,              26,            334
   30,           215,             185,            319,       106,          71,        144,       112,           0,        227,           493,              25,            202
   31,           246,             215,            283,       170,         111,        210,       119,           0,        293,           525,              29,            383
   32,           273,             241,            352,       142,          66,         92,       124,           0,        111,           558,              31,            227
   33,           299,             266,            437,       144,          84,        146,       130,           0,        151,           592,              26,            885
   34,           323,             289,            859,       171,         102,        262,       131,           0,        379,           627,              29,            488
   35,           351,             316,            893,       145,          80,        170,       138,           0,        198,           663,              30,            424
   36,           386,             350,            576,       166,         102,        164,       146,           0,        131,           700,              32,            520
   37,           402,             365,            680,       183,         139,        172,       153,           0,        195,           738,              31,            474
   38,           436,             398,            514,       176,         121,        133,       152,           0,        149,           777,              32,            302
   39,           475,             436,            461,       184,         101,        118,       157,           0,        136,           817,              34,            482
   40,           503,             463,            517,       182,         112,        142,       162,           0,        157,           858,              37,            332
   41,           518,             477,            489,       182,         120,        132,       169,           0,        147,           900,              37,            345
   42,           520,             478,            524,       214,         158,        276,       178,           0,        226,           943,              38,            367
   43,           525,             482,            544,       217,         165,        160,       182,           0,        159,           987,              38,            457
   44,           537,             493,            507,       204,         148,        149,       184,           0,        161,          1032,              41,            470
   45,           582,             537,            581,       235,         125,        154,       193,           0,        211,          1078,              43,            432
   46,           625,             579,            588,       230,          97,        192,       198,           0,        234,          1125,              43,            431
   47,           640,             593,            632,       252,         161,        173,       202,           0,        173,          1173,              43,            443
   48,           659,             611,            620,       225,         133,        152,       207,           0,        173,          1222,              45,            481
   49,           703,             654,            723,       252,         133,        162,       212,           0,        211,          1272,              42,            631
   50,           730,             680,            692,       221,         126,        148,       224,           0,        190,          1323,              44,            495
   51,           760,             709,            723,       291,         184,        193,       223,           0,        232,          1375,              45,           2542
   52,           811,             759,           1050,       283,         146,        243,       230,           0,        228,          1428,              47,            740
   53,           862,             809,           2066,       309,         192,        207,       235,           0,        228,          1482,              47,            554
   54,           912,             858,            919,       314,         154,        216,       243,           0,        204,          1537,              52,            591
   55,           934,             879,            921,       277,         166,        205,       254,           0,        212,          1593,              49,            609
   56,           980,             924,            967,       324,         211,        241,       258,           0,        235,          1650,              52,            633
   57,          1033,             976,           1019,       358,         217,        231,       264,           0,        218,          1708,              54,            687
   58,          1043,             985,           1022,       312,         183,        208,       274,           0,        248,          1767,              53,            690
   59,          1098,            1039,           1055,       375,         179,        228,       271,           0,        225,          1827,              51,            673
   60,          1141,            1081,           1092,       351,         194,        219,       281,           0,        230,          1888,              53,            690
   61,          1169,            1108,           1189,       279,         179,        211,       285,           0,        239,          1950,              58,            767
   62,          1205,            1143,           1218,       323,         185,        211,       296,           0,        244,          2013,              59,            759
   63,          1223,            1160,           1216,       322,         227,        229,       298,           0,        249,          2077,              60,            873
   64,          1242,            1178,           1207,       336,         243,        244,       302,           0,        248,          2142,              60,            820
   65,          1300,            1235,           1414,       387,         219,        281,       308,           0,        261,          2208,              61,            827
   66,          1357,            1291,           1358,       355,         179,        225,       318,           0,        285,          2275,              63,            926
   67,          1370,            1303,           1429,       391,         267,        267,       322,           0,        283,          2343,              61,            874
   68,          1415,            1347,           1384,       347,         209,        255,       332,           0,        271,          2412,              65,            912
   69,          1437,            1368,           1973,       349,         241,        244,       334,           0,        273,          2482,              66,            918
   70,          1506,            1436,           1435,       418,         224,        257,       342,           0,        277,          2553,              64,            922
   71,          1536,            1465,           1502,       410,         235,        261,       351,           0,        281,          2625,              65,           1028
   72,          1547,            1475,           1475,       416,         282,        281,       359,           0,        292,          2698,              67,            963
   73,          1594,            1521,           1516,       405,         234,        260,       364,           0,        292,          2772,              69,            987
   74,          1637,            1563,           1617,       401,         268,        283,       373,           0,        306,          2847,              71,           1052
   75,          1706,            1631,           1669,       464,         257,        294,       375,           0,        308,          2923,              71,           1070
   76,          1767,            1691,           1827,       390,         216,        258,       381,           0,        377,          3000,              73,           1302
   77,          1813,            1736,           1765,       392,         237,        259,       388,           0,        314,          3078,              72,           1092
   78,          1817,            1739,           1825,       494,         277,        307,       389,           0,        315,          3157,              73,           1168
   79,          1844,            1765,           1792,       412,         282,        285,       399,           0,        320,          3237,              75,           1148
   80,          1886,            1806,           1793,       419,         286,        287,       404,           0,        319,          3318,              76,           1172
   81,          1914,            1833,           1863,       442,         298,        305,       414,           0,        345,          3400,              73,           1197
   82,          1940,            1858,           1848,       500,         340,        336,       424,           0,        335,          3483,              74,           1224
   83,          1943,            1860,           1852,       561,         445,        398,       432,           0,        337,          3567,              76,           1250
   84,          1987,            1903,           1893,       511,         341,        344,       437,           0,        341,          3652,              79,           1282
   85,          2057,            1972,           1961,       511,         321,        332,       441,           0,        344,          3738,              78,           1417
   86,          2060,            1974,           2027,       585,         405,        390,       446,           0,        350,          3825,              80,           1339
   87,          2096,            2009,           1998,       500,         351,        342,       458,           0,        354,          3913,              83,           1373
   88,          2136,            2048,           2038,       514,         319,        333,       459,           0,        358,          4002,              82,           1399
   89,          2198,            2109,           2122,       521,         323,        339,       470,           0,        366,          4092,              87,           1431
   90,          2277,            2187,           2169,       685,         345,        403,       473,           0,        375,          4183,              87,           1560
   91,          2330,            2239,           2347,       476,         298,        341,       477,           0,        397,          4275,              87,           1701
   92,          2340,            2248,           2341,       550,         369,        374,       487,           0,        385,          4368,              88,           1529
   93,          2407,            2314,           2301,       521,         288,        329,       492,           0,        383,          4462,              90,           1552
   94,          2432,            2338,           2361,       541,         322,        347,       501,           0,        387,          4557,              92,           1587
   95,          2461,            2366,           2350,       541,         327,        352,       506,           0,        393,          4653,              90,           1617
   96,          2549,            2453,           2689,       658,         411,        425,       511,           0,        406,          4750,              89,           1651
   97,          2637,            2540,           2521,       655,         336,        390,       519,           0,        404,          4848,              90,           1682
   98,          2702,            2604,           2614,       581,         296,        350,       526,           0,        406,          4947,              90,           1710
   99,          2717,            2618,           2596,       591,         390,        391,       540,           0,        414,          5047,              94,           1749
  100,          2804,            2704,           2682,       583,         323,        365,       543,           0,        415,          5148,              96,           1782
  101,          2818,            2717,           2692,       648,         411,        427,       553,           0,        424,          5250,              97,           1815
  102,          2877,            2775,           2756,       581,         348,        375,       549,           0,        425,          5353,              99,           1989
  103,          2911,            2808,           2871,       605,         420,        421,       562,           0,        458,          5457,             100,           2063
  104,          2986,            2882,           2948,       633,         408,        424,       568,           0,        462,          5562,             100,           1977
  105,          3090,            2985,           3067,       719,         407,        490,       575,           0,        590,          5668,              99,           2032
  106,          3117,            3011,           3006,       714,         473,        498,       583,           0,        471,          5775,             101,           2070
  107,          3206,            3099,           3298,       730,         371,        453,       590,           0,        667,          5883,             101,           2089
  108,          3245,            3137,           3468,       662,         412,        452,       598,           0,        468,          5992,             103,           2267
  109,          3340,            3231,           3391,       748,         432,        563,       602,           0,        492,          6102,             105,           2110
  110,          3379,            3269,           3655,       664,         423,        450,       618,           0,        487,          6213,             107,           2196
  111,          3464,            3353,           3509,       659,         358,        636,       617,           0,        610,          6325,             103,           2391
  112,          3576,            3464,           3500,       775,         404,        466,       623,           0,        482,          6438,             108,           2209
  113,          3611,            3498,           3497,       792,         479,        501,       631,           0,        481,          6552,             110,           2238
  114,          3634,            3520,           3484,       798,         509,        514,       648,           0,        603,          6667,             108,           2282
  115,          3746,            3631,           3690,       807,         471,        506,       648,           0,        501,          6783,             109,           2318
  116,          3809,            3693,           3669,       804,         540,        534,       656,           0,        501,          6900,             111,           2357
  117,          3828,            3711,           3685,       827,         589,        557,       657,           0,        500,          7018,             113,           2395
  118,          3920,            3802,           3766,       718,         402,        448,       665,           0,        523,          7137,             116,           2441
  119,          3964,            3845,           3818,       801,         517,        520,       668,           0,        506,          7257,             115,           2479
  120,          4084,            3964,           3927,       878,         445,        514,       674,           0,        514,          7378,             114,           2526
  121,          4112,            3991,           4001,       903,         520,        553,       683,           0,        520,          7500,             117,           2551
  122,          4227,            4105,           4076,       953,         400,        525,       697,           0,        530,          7623,             117,           2652
  123,          4313,            4190,           4158,       753,         401,        463,       704,           0,        532,          7747,             120,           2644
  124,          4330,            4206,           4164,       884,         493,        537,       709,           0,        533,          7872,             120,           2681
  125,          4361,            4236,           4190,       810,         488,        516,       717,           0,        549,          7998,             122,           2730
  126,          4472,            4346,           4312,       852,         458,        515,       721,           0,        547,          8125,             122,           2761
  127,          4573,            4446,           4401,       817,         445,        500,       728,           0,        548,          8253,             122,           2856
  128,          4632,            4504,           4588,       797,         469,        519,       735,           0,        580,          8382,             122,           2857
  129,          4713,            4584,           4537,       805,         450,        499,       743,           0,        564,          8512,             126,           2892
  130,          4833,            4703,           4660,       997,         601,        622,       743,           0,        566,          8643,             127,           2933
  131,          4952,            4821,           4774,       904,         462,        537,       759,           0,        579,          8775,             125,           3057
  132,          5017,            4885,           4890,       893,         555,        573,       771,           0,        591,          8908,             127,           3145
  133,          5096,            4963,           4977,       819,         489,        535,       773,           0,        594,          9042,             129,           3061
  134,          5218,            5084,           5193,      1036,         516,        661,       773,           0,        596,          9177,             130,           3106
  135,          5269,            5134,           5131,       862,         490,        541,       787,           0,        608,          9313,             130,           3179
  136,          5291,            5155,           5208,       995,         657,        655,       793,           0,        604,          9450,             131,           3206
  137,          5340,            5203,           5213,       957,         605,        619,       801,           0,        610,          9588,             133,           3241
  138,          5428,            5290,           5296,       889,         482,        546,       799,           0,        609,          9727,             134,           3291
  139,          5430,            5291,           5296,      1025,         674,        685,       818,           0,        621,          9867,             135,           3335
  140,          5502,            5362,           5299,       917,         610,        609,       825,           0,        622,         10008,             136,           3380
  141,          5585,            5444,           5382,      1107,         748,        810,       832,           0,        633,         10150,             138,           3433
  142,          5723,            5581,           5515,      1059,         553,        636,       844,           0,        641,         10293,             135,           3543
  143,          5857,            5714,           5717,      1109,         568,        653,       852,           0,        703,         10437,             136,           3548
  144,          5904,            5760,           5695,      1071,         651,        679,       860,           0,        655,         10582,             138,           3569
  145,          6002,            5857,           5790,      1027,         570,        628,       870,           0,        658,         10728,             139,           3614
  146,          6135,            5989,           5922,      1027,         553,        623,       871,           0,        659,         10875,             141,           3665
  147,          6243,            6096,           6042,      1038,         535,        623,       884,           0,        670,         11023,             140,           3710
  148,          6314,            6166,           6121,      1021,         653,        662,       892,           0,        675,         11172,             142,           3760
  149,          6435,            6286,           6207,      1037,         623,        653,       897,           0,        689,         11322,             142,           3809
  150,          6465,            6315,           6227,       991,         599,        634,       904,           0,        682,         11473,             143,           3952
  151,          6606,            6455,           6367,      1292,         739,        783,       907,           0,        693,         11625,             145,           4046
  152,          6646,            6494,           6687,      1056,         617,        666,       910,           0,        730,         11778,             146,           4889
  153,          6762,            6609,           8558,      1177,         733,        753,       921,           0,       1323,         11932,             151,           4031
  154,          6795,            6641,           6595,      1181,         673,        724,       927,           0,        704,         12087,             149,           4081
