   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, selection_cmp, selection_swaps, selection_time
   0,             0,               0,              3,         0,           0,          2,         0,           0,          1,             0,               0,              1
   1,             1,               0,              7,         0,           0,          1,         0,           0,          0,             0,               0,              0
   2,             2,               0,              4,         1,           2,         63,         1,           0,         10,             3,               0,              6
   3,             4,               1,             22,         2,           2,          8,         3,           0,         12,             7,               1,             11
   4,             5,               1,             17,         5,           6,         13,         5,           0,         15,            12,               1,             14
   5,             9,               4,             15,         6,           4,         11,         7,           0,         16,            18,               2,             13
   6,            12,               6,             13,         8,           8,         10,        11,           0,         14,            25,               2,             15
   7,            17,              10,             16,        13,          10,         14,        13,           0,         16,            33,               4,             20
   8,            21,              13,             19,        13,          12,         14,        16,           0,         18,            42,               5,             23
   9,            27,              18,             24,        19,          17,         20,        20,           0,         23,            52,               6,             27
  10,            29,              19,             26,        24,          24,         24,        24,           0,         39,            63,               7,             57
  11,            31,              20,             46,        33,          34,         52,        28,           0,         46,            75,               8,             56
  12,            34,              22,             36,        35,          36,         56,        31,           0,         58,            88,               8,             79
  13,            35,              22,             53,        47,          49,         81,        35,           0,         63,           102,               8,             91
  14,            43,              29,             58,        35,          31,         58,        38,           0,         61,           117,               9,             90
  15,            52,              37,             75,        42,          30,        105,        42,           0,         70,           133,              11,            114
  16,            63,              47,            169,        44,          28,         57,        46,           0,         89,           150,              13,            113
  17,            79,              62,            122,        54,          31,         64,        50,           0,        253,           168,              12,            124
  18,            92,              74,            214,        51,          30,         45,        54,           0,         59,           187,              16,             97
  19,            97,              78,            133,        63,          41,         72,        61,           0,         94,           207,              16,            155
  20,           111,              91,            280,        74,          36,        119,        65,           0,        124,           228,              17,            206
  21,           129,             108,            229,        86,          57,         70,        66,           0,        145,           250,              18,            205
  22,           132,             110,            192,        85,          65,        164,        74,           0,        174,           273,              18,            213
  23,           133,             110,            298,       107,          88,        347,        77,           0,        139,           297,              18,            299
  24,           155,             131,            262,        88,          40,         97,        80,           0,        131,           322,              19,            222
  25,           177,             152,            316,       104,          68,        126,        88,           0,        137,           348,              16,            247
  26,           190,             164,            314,        92,          60,        124,        93,           0,        153,           375,              20,            298
  27,           214,             187,            340,       125,          70,        157,        97,           0,        154,           403,              21,            275
  28,           236,             208,            354,       127,          64,        166,       101,           0,        224,           432,              24,            395
  29,           251,             222,            411,       113,          63,        128,       108,           0,        107,           462,              26,            239
  30,           267,             237,            493,       103,          65,        142,       112,           0,        144,           493,              27,            258
  31,           276,             245,            611,       116,          95,        154,       117,           0,        150,           525,              27,            306
  32,           287,             255,            360,       122,          96,        126,       120,           0,        117,           558,              29,            235
  33,           313,             280,            291,       133,          86,         98,       125,           0,        111,           592,              30,            271
  34,           343,             309,            320,       187,         103,        123,       131,           0,        117,           627,              27,            252
  35,           374,             339,            356,       163,          86,        107,       136,           0,        119,           663,              31,            493
  36,           386,             350,            431,       156,         100,        113,       145,           0,        130,           700,              32,            281
  37,           415,             378,            391,       160,          89,        112,       146,           0,        130,           738,              32,            292
  38,           438,             400,            413,       155,         100,        109,       155,           0,        134,           777,              32,            306
  39,           458,             419,            429,       151,         110,        114,       163,           0,        138,           817,              35,            322
  40,           483,             443,            462,       178,         105,        122,       167,           0,        144,           858,              37,            344
  41,           514,             473,            530,       208,         132,        147,       172,           0,        148,           900,              37,            349
  42,           536,             494,            508,       162,         117,        123,       173,           0,        151,           943,              36,            393
  43,           574,             531,            583,       199,         131,        174,       183,           0,        163,           987,              39,            377
  44,           581,             537,            558,       233,         151,        320,       193,           0,        221,          1032,              39,            392
  45,           619,             574,            590,       212,         123,        145,       200,           0,        168,          1078,              40,            411
  46,           623,             577,            597,       242,         167,        170,       196,           0,        168,          1125,              41,            642
  47,           657,             610,            618,       217,         127,        149,       201,           0,        189,          1173,              44,            443
  48,           693,             645,            664,       253,         159,        219,       206,           0,        177,          1222,              43,            460
  49,           721,             672,            777,       234,         159,        169,       212,           0,        181,          1272,              40,            508
  50,           736,             686,            780,       235,         172,        174,       222,           0,        192,          1323,              46,            579
  51,           777,             726,            784,       252,         179,        183,       228,           0,        194,          1375,              44,            518
  52,           790,             738,            749,       256,         198,        195,       238,           0,        196,          1428,              46,            583
  53,           792,             739,            782,       305,         242,        224,       237,           0,        198,          1482,              47,            560
  54,           833,             779,            797,       282,         172,        188,       247,           0,        205,          1537,              49,            578
  55,           864,             809,            829,       267,         186,        199,       249,           0,        206,          1593,              51,            599
  56,           883,             827,            901,       266,         191,        324,       252,           0,        308,          1650,              53,            669
  57,           897,             840,            877,       296,         222,        247,       260,           0,        216,          1708,              54,            633
  58,           907,             849,            911,       339,         282,        274,       269,           0,        225,          1767,              55,            721
  59,           948,             889,           1371,       302,         230,        241,       279,           0,        233,          1827,              57,            725
  60,           961,             901,            916,       307,         211,        220,       283,           0,        233,          1888,              57,            785
  61,          1022,             961,           1250,       433,         225,        295,       288,           0,        241,          1950,              55,            715
  62,          1044,             982,           1003,       379,         242,        262,       297,           0,        271,          2013,              58,            776
  63,          1060,             997,           1025,       393,         269,        289,       304,           0,        334,          2077,              59,            821
  64,          1062,             998,           1010,       458,         337,        324,       309,           0,        260,          2142,              60,            823
  65,          1096,            1031,           1055,       379,         245,        255,       315,           0,        260,          2208,              59,           1052
  66,          1106,            1040,           1132,       416,         286,        284,       317,           0,        262,          2275,              64,            890
  67,          1132,            1065,           1111,       402,         281,        279,       326,           0,        267,          2343,              63,            890
  68,          1185,            1117,           1180,       406,         204,        332,       331,           0,        296,          2412,              65,            968
  69,          1186,            1117,           1873,       474,         273,        496,       337,           0,        468,          2482,              65,           1469
  70,          1227,            1157,           1394,       392,         200,        264,       344,           0,        358,          2553,              63,           1072
  71,          1257,            1186,           1435,       393,         264,        342,       355,           0,        460,          2625,              66,           1206
  72,          1307,            1235,           1284,       429,         245,        339,       361,           0,        339,          2698,              67,           1133
  73,          1377,            1304,           1307,       486,         292,        309,       369,           0,        295,          2772,              68,            982
  74,          1408,            1334,           1330,       409,         255,        304,       367,           0,        343,          2847,              70,           1024
  75,          1473,            1398,           1392,       435,         260,        282,       380,           0,        302,          2923,              70,           1031
  76,          1541,            1465,           1454,       428,         223,        258,       387,           0,        303,          3000,              69,           1055
  77,          1572,            1495,           1488,       401,         248,        262,       392,           0,        306,          3078,              73,           1087
