  n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, selection_cmp, selection_swaps, selection_time
  0,             0,               0,              1,         0,           0,          1,         0,           0,          1,             0,               0,              0
  1,             1,               0,              4,         0,           0,          1,         0,           0,          0,             0,               0,              0
  2,             3,               1,              6,         1,           1,          4,         1,           0,          5,             3,               1,              5
  3,             4,               1,              5,         3,           4,         10,         3,           0,         13,             7,               1,              9
  4,             6,               2,              7,         4,           4,          7,         4,           0,         11,            12,               2,             10
  5,             7,               2,              7,         8,           9,         12,         6,           0,         13,            18,               2,             14
  6,            12,               6,             12,        10,           5,         11,        10,           0,         16,            25,               4,             20
  7,            15,               8,             17,        11,          10,         14,        13,           0,         20,            33,               4,             22
  8,            23,              15,             38,        20,          11,         20,        16,           0,         24,            42,               5,             27
  9,            29,              20,            131,        18,          13,         26,        20,           0,         36,            52,               6,             41
 10,            37,              27,             40,        22,          14,         22,        22,           0,         31,            63,               7,             40
 11,            43,              32,             47,        24,          15,         25,        27,           0,         36,            75,               8,             46
 12,            47,              35,             51,        27,          23,         29,        31,           0,         41,            88,               9,             52
 13,            58,              45,             63,        38,          28,         36,        34,           0,         43,           102,               9,             57
 14,            62,              48,             66,        39,          31,         43,        37,           0,         48,           117,              10,             97
 15,            70,              55,             71,        38,          29,         43,        41,           0,         46,           133,              11,             64
 16,            73,              57,             66,        49,          41,         43,        45,           0,         47,           150,              13,             74
 17,            86,              69,             80,        61,          51,         51,        49,           0,         52,           168,              11,             76
 18,            95,              77,             89,        55,          37,         44,        56,           0,         59,           187,              11,             83
 19,            98,              79,             90,        59,          48,         51,        59,           0,         62,           207,              11,             99
 20,           118,              98,            111,        83,          46,         60,        63,           0,         66,           228,              16,            107
 21,           137,             116,            175,        95,          52,         77,        68,           0,         88,           250,              16,            128
 22,           158,             136,            155,       108,          67,        125,        74,           0,        133,           273,              18,            185
 23,           172,             149,            259,        79,          46,        253,        81,           0,        194,           297,              21,            381
 24,           186,             162,            204,        97,          62,        102,        86,           0,        170,           322,              22,            166
 25,           202,             177,            193,        87,          49,         62,        90,           0,         87,           348,              21,            145
 26,           215,             189,            205,        93,          68,         72,        90,           0,         94,           375,              23,            444
 27,           239,             212,            447,       107,          67,        169,        92,           0,        220,           403,              24,            404
 28,           245,             217,            238,       113,          66,         80,       102,           0,        101,           432,              23,            177
 29,           252,             223,            241,       118,          69,         82,       107,           0,        100,           462,              25,            188
 30,           259,             229,            248,       137,          90,         97,       109,           0,         96,           493,              27,            200
 31,           272,             241,            260,       115,          80,         85,       116,           0,        100,           525,              27,            250
 32,           284,             252,            319,       138,          86,         96,       121,           0,        106,           558,              26,            223
